state,answer_set,facility_name,eligible_to_vote,count,n_respondents,pct_of_respondents
IL,all-surveys,"Cook County, IL",Yes,356,418,0.8516746411483254
CA,all-surveys,"Santa Clara County, CA",Yes,238,347,0.6858789625360231
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",No,211,505,0.4178217821782178
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",Yes,164,505,0.32475247524752476
CA,all-surveys,"Sacramento County Sheriff's Office, CA",Yes,130,233,0.5579399141630901
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",Not sure,129,505,0.25544554455445545
OH,all-surveys,"Cuyahoga County Justice Center, OH",Yes,96,151,0.6357615894039735
CA,all-surveys,"Fresno County, CA",Yes,95,166,0.572289156626506
CA,all-surveys,"Stanislaus County, CA",Yes,80,142,0.5633802816901409
CO,all-surveys,"Denver County Jail, CO",Yes,75,103,0.7281553398058253
TX,all-surveys,"Travis County Jail, TX",Yes,74,162,0.4567901234567901
AZ,all-surveys,"Pima County Jail, AZ",No,73,149,0.4899328859060403
CA,all-surveys,"Sacramento County Sheriff's Office, CA",Not sure,70,233,0.30042918454935624
CA,all-surveys,"Santa Clara County, CA",Not sure,64,347,0.1844380403458213
IL,all-surveys,"Winnebago County, IL",Yes,61,108,0.5648148148148148
MI,all-surveys,"Kent County, MI ",Yes,59,72,0.8194444444444444
CO,all-surveys,"Weld County, CO",Yes,53,88,0.6022727272727273
TX,all-surveys,"Travis County Jail, TX",Not sure,53,162,0.3271604938271605
PA,all-surveys,"Dauphin County Jail, PA",Yes,50,84,0.5952380952380952
CO,all-surveys,"Pueblo County, CO",Yes,49,63,0.7777777777777778
CA,all-surveys,"San Joaquin County Jail, CA",Yes,48,78,0.6153846153846154
CA,all-surveys,"Santa Clara County, CA",No,43,347,0.1239193083573487
PA,all-surveys,"Lackawana County, PA",Yes,43,84,0.5119047619047619
AZ,all-surveys,"Pima County Jail, AZ",Not sure,42,149,0.28187919463087246
CO,all-surveys,"Mesa County, CO",Yes,41,59,0.6949152542372882
CA,all-surveys,"Orange County, CA - Central Jail Complex",Yes,40,68,0.5882352941176471
CA,all-surveys,"Orange County, CA - Theo Lacy",Yes,40,93,0.43010752688172044
GA,all-surveys,"Gwinnett County Sheriffs Office, GA",Yes,39,78,0.5
MO,all-surveys,"St. Louis County Jail, MO",Yes,39,74,0.527027027027027
NY,all-surveys,"Monroe County Sheriff's Department, NY",Yes,39,62,0.6290322580645161
CA,all-surveys,"Fresno County, CA",Not sure,38,166,0.2289156626506024
CA,all-surveys,"Stanislaus County, CA",Not sure,38,142,0.2676056338028169
MA,all-surveys,"Suffolk County Jail, MA",Yes,37,60,0.6166666666666667
NC,all-surveys,"Cumberland County, NC",Yes,36,72,0.5
NC,all-surveys,"Mecklenburg County Sheriffs Office,  NC",Yes,36,67,0.5373134328358209
IN,all-surveys,"Hamilton County Main Jail, IN",Yes,35,65,0.5384615384615384
NY,all-surveys,"Albany County Correctional Facility, NY",Yes,35,71,0.49295774647887325
OH,all-surveys,"Mahoning County Justice Center, OH",Yes,35,75,0.4666666666666667
AZ,all-surveys,"Pima County Jail, AZ",Yes,34,149,0.22818791946308725
CA,all-surveys,"Ventura County Sheriff's Office, CA",Yes,34,72,0.4722222222222222
IL,all-surveys,"Winnebago County, IL",Not sure,34,108,0.3148148148148148
MA,all-surveys,"Middlesex County House of Corrections, MA",Yes,34,53,0.6415094339622641
MI,all-surveys,"Macomb County, MI",Yes,34,54,0.6296296296296297
NY,all-surveys,"Erie County, NY",Yes,34,45,0.7555555555555555
OH,all-surveys,"Cuyahoga County Justice Center, OH",Not sure,34,151,0.2251655629139073
PA,all-surveys,"Montgomery County Correctional Facility, PA",Yes,34,56,0.6071428571428571
PA,all-surveys,"Westmoreland County, PA",Yes,34,57,0.5964912280701754
WA,all-surveys,"Spokane County Jail, WA",Yes,33,72,0.4583333333333333
CA,all-surveys,"Fresno County, CA",No,32,166,0.1927710843373494
CO,all-surveys,"Jefferson County Detention Facility, CO",Yes,32,48,0.6666666666666666
IL,all-surveys,"Cook County, IL",Not sure,32,418,0.07655502392344497
MA,all-surveys,"Worcester County Jail, MA",Yes,32,51,0.6274509803921569
PA,all-surveys,"Berks County Jail, PA",Yes,32,50,0.64
CA,all-surveys,"Madera County, CA",Yes,31,44,0.7045454545454546
CA,all-surveys,"Orange County, CA - Theo Lacy",Not sure,31,93,0.3333333333333333
CA,all-surveys,"Sacramento County Sheriff's Office, CA",No,31,233,0.13304721030042918
MA,all-surveys,"Essex County Middleton HOC, MA",Yes,31,60,0.5166666666666667
TX,all-surveys,"Travis County Jail, TX",No,31,162,0.19135802469135801
VA,all-surveys,"Chesapeake Correctional Center, VA",No,30,64,0.46875
PA,all-surveys,"Lehigh County, PA",Yes,29,58,0.5
VA,all-surveys,"Virginia Beach Correctional Facility, VA",No,29,80,0.3625
WA,all-surveys,"Yakima County, WA",Not sure,29,82,0.35365853658536583
WA,all-surveys,"Yakima County, WA",Yes,29,82,0.35365853658536583
CA,all-surveys,"Santa Barbara County, CA",Yes,28,51,0.5490196078431373
NY,all-surveys,"Suffolk County, NY ",Yes,28,51,0.5490196078431373
PA,all-surveys,"Lebanon County, PA",Yes,28,46,0.6086956521739131
CA,all-surveys,"Butte County, CA",Yes,27,46,0.5869565217391305
IL,all-surveys,"Kane County, IL",Yes,27,40,0.675
PA,all-surveys,"Lackawana County, PA",Not sure,27,84,0.32142857142857145
VA,all-surveys,"Virginia Beach Correctional Facility, VA",Yes,27,80,0.3375
IL,all-surveys,"Cook County, IL",No,26,418,0.06220095693779904
OH,all-surveys,"Mahoning County Justice Center, OH",Not sure,25,75,0.3333333333333333
MA,all-surveys,"Bristol County House of Correction, MA",Yes,24,44,0.5454545454545454
UT,all-surveys,"Salt Lake City County, UT",Yes,24,48,0.5
WA,all-surveys,"Spokane County Jail, WA",Not sure,24,72,0.3333333333333333
VA,all-surveys,"Virginia Beach Correctional Facility, VA",Not sure,23,80,0.2875
FL,all-surveys,Santa Rosa County FL,No,22,41,0.5365853658536586
IN,all-surveys,"Hamilton County Main Jail, IN",Not sure,22,65,0.3384615384615385
TX,all-surveys,"McLennan County, TX",Yes,22,57,0.38596491228070173
TX,all-surveys,"Potter County Detention, TX",Yes,22,52,0.4230769230769231
VA,all-surveys,"Roanoke City Adult Detention Center, VA",No,22,42,0.5238095238095238
CA,all-surveys,"Orange County, CA - Theo Lacy",No,21,93,0.22580645161290322
CO,all-surveys,"Weld County, CO",Not sure,21,88,0.23863636363636365
GA,all-surveys,"Gwinnett County Sheriffs Office, GA",No,21,78,0.2692307692307692
MO,all-surveys,"St. Louis County Jail, MO",No,21,74,0.28378378378378377
OH,all-surveys,"Cuyahoga County Justice Center, OH",No,21,151,0.1390728476821192
TX,all-surveys,"Collin County, TX ",Yes,21,51,0.4117647058823529
CA,all-surveys,"Orange County, CA - Central Jail Complex",Not sure,20,68,0.29411764705882354
CA,all-surveys,"San Joaquin County Jail, CA",Not sure,20,78,0.2564102564102564
MO,all-surveys,"Cape Girardeau County Jail, MO",No,20,49,0.40816326530612246
NC,all-surveys,"Mecklenburg County Sheriffs Office,  NC",Not sure,20,67,0.29850746268656714
NY,all-surveys,"Niagara County Correctional Facility, NY",Yes,20,41,0.4878048780487805
OR,all-surveys,"Lincoln County, OR",Yes,20,34,0.5882352941176471
TX,all-surveys,"McLennan County, TX",No,20,57,0.3508771929824561
TX,all-surveys,"Potter County Detention, TX",Not sure,20,52,0.38461538461538464
VA,all-surveys,"Chesapeake Correctional Center, VA",Yes,20,64,0.3125
VA,all-surveys,"Western Regional, VA",No,20,36,0.5555555555555556
CA,all-surveys,"Stanislaus County, CA",No,19,142,0.13380281690140844
CA,all-surveys,"Ventura County Sheriff's Office, CA",No,19,72,0.2638888888888889
GA,all-surveys,"Athens Clarke County Jail, GA",Yes,19,52,0.36538461538461536
MA,all-surveys,"Barnstable County Correctional Facility, MA",Yes,19,24,0.7916666666666666
NY,all-surveys,"Albany County Correctional Facility, NY",No,19,71,0.2676056338028169
PA,all-surveys,"Dauphin County Jail, PA",Not sure,19,84,0.2261904761904762
PA,all-surveys,"Washington County, PA ",Not sure,19,43,0.4418604651162791
PA,all-surveys,"Washington County, PA ",Yes,19,43,0.4418604651162791
AZ,all-surveys,"Pinal County Jail, AZ",No,18,36,0.5
CA,all-surveys,"Ventura County Sheriff's Office, CA",Not sure,18,72,0.25
CO,all-surveys,"Larimer County, CO",Yes,18,28,0.6428571428571429
GA,all-surveys,"Bibb County Jail, GA",Yes,18,38,0.47368421052631576
NE,all-surveys,"Lancaster County, NE",Yes,18,40,0.45
NY,all-surveys,"Onondaga County-Justice Center, NY",Yes,18,25,0.72
PA,all-surveys,"Delaware County, PA",Yes,18,25,0.72
TX,all-surveys,"Guadalupe County, TX",Not sure,18,52,0.34615384615384615
WA,all-surveys,"Yakima County, WA",No,18,82,0.21951219512195122
CO,all-surveys,"Douglas Detention Center, CO",Yes,17,32,0.53125
FL,all-surveys,"Sarasota County, FL",No,17,48,0.3541666666666667
FL,all-surveys,"Sarasota County, FL",Yes,17,48,0.3541666666666667
